SENTENCE A,SENTENCE B,label
someone is dirtying an animal,a woman is cleaning a shrimp,0
a woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,a lady is dressed in black and is carrying a white cross,0
a person is cutting garlic into pieces with a knife,someone is putting ingredients into a wok,0
a woman is rock climbing pausing and calculating the route,a man is rock climbing and a city and a bay are in the background,0
a rabbit is playing with a toy rabbit,there is no bunny playing with a stuffed bunny,1
there is no man shaking a container over a sink in the kitchen,a man is emptying a plastic container,0
the log is lying on the panda bear,the panda bear is lying on the logs,1
the crowd is watching two racing cars that are leaving the starting line,the crowd is not watching two racing cars that are leaving the starting line,1
there is no man singing and playing the guitar,the man is singing and playing the guitar,1
a woman is placing food in a pot of hot water,a woman is cooking food in a pot of hot water,0
the man is not doing a wheelie on a mountain bike,a man on a bicycle is riding on one wheel only,0
if i were reborn i would want to learn the violin,if i were reborn i would not want to learn the violin,1
there is no monkey kicking a person,a monkey is kicking a person,1
there is no man peeling an onion,a man is peeling an onion,1
a woman is putting make-up on,the woman is removing make-up,1
a person is sitting and wearing a grass hat,a person is wearing a hat and is sitting on the grass,0
my big sister showers every day,my big sister showers one a week,1
a blonde man is hanging by gymnastic ropes,people are dangling from straps and kicking at each other,0
two women are standing together and one is looking through binoculars,two men are standing together and one is looking through binoculars,0
a girl is playing a guitar,a boy is playing a guitar,0
a woman is breaking two eggs in a bowl,some ingredients are being mixed in a bowl by a person,0
a yellow dog is running on white snow on a very sunny day,a tan dog is running through the snow,0
the herd of caribous is crossing a road,a herd of deer is stopping at the street,0
two young kids are playing with a man eating corndogs,two young kids are eating corndogs,0
the dog in the red vest is not running in the field,the dog in the red vest is running in the field,1
a man is dangerously throwing knives at a tree,the man isnt doing a magic trick,0
a man is chopping down a tree with an axe,a person is planting a tree,0
a woman is dancing and a man is playing the keyboard,a woman is dancing on a stage,0
four people are sitting on a bridge over a body of water,several people are walking in line across a bridge,0
a snowboarding woman is jumping through the air,a person wearing grey pants is airborne on a snowboard,0
the woman is wearing a red jacket and holding a glass in front of the man in a white t-shirt,the woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt,1
a man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,a man is standing near a bike and is writing on a piece paper,0
a man dressed in black is wearing an elaborate black mask,there is no man holding a mask in his raised hand,0
two men and a girl in front of a wood panel wall are posing with funny faces,three enemies are making faces for the camera,0
a dog is barking at a ball,there is no dog barking at a ball,1
the lady isnt slicing up the meat,the lady is slicing up the meat,1
a group of people from asia is eating at a restaurant,various people are eating at red tables in a crowded restaurant with purple lights,0
a boy in blue shirt is looking at his hand near a stack of blocks on table,a woman in blue shirt is looking at her hand near a stack of blocks on table,0
a woman and three men are posing for a photo,a woman and three men are denying a photo,0
there is no girl brushing her hair,a girl is brushing her hair,1
a man is standing on a roof,a man is dancing on a roof ,0
a man is pouring a plate of shredded cheese into a pot of sauce,a man is pouring a pot of cheese sauce into a shredded plate,0
two small children are playing with a toy car in the street,a girl is pushing a go-kart and a daughter is watching her father,0
the horse is being ridden by a man,a man is riding a motorbike,0
the sugar is mixed with the tea,the tea is mixed with the sugar,1
the play is about a happy boy playing the piano,a boy is happily playing the piano,0
one person who is practicing snowboarding jumps into the air,a person is frying meat in a pan,0
rollerbladers are rolling in formation down a hill,rollerbladers are not rolling in formation down a hill,1
a wet boy is cheerfully jumping around on dirty and wet grass,a young boy covered in grass is jumping near a wooden fence,0
a barefoot man in pajamas is looking toward the sky and is walking on the tennis court,a barefoot man in pajamas is looking toward the sky and is standing on the tennis court,0
"No it does not have a dual camera, it would be much better to trash your money than spend on this worthless piece of a S@#$T. Don't but this phone.","No. It  has only one camera. Takes a decent enough photo for the cost. I have had 2 for over 2 years now and both have worked well. However, I think for same money you can get a more up-to-date phone. I took mine to shops to find a protective cover last month and they laughed at me. Said it was an antique. I have since upgraded to a new phone.",0
the black dog is walking along a tree trunk bridge over water,the black dog is not walking along a tree trunk bridge over water,1
a group of people are not dancing at a concert,a group of people are marching,0
a dog with very long hair is being showed by a woman at a dog show,a woman is marching with a pair of dogs,0
there is no person pouring olive oil into a pot on the stove,a person is pouring cooking oil into a pot,0
a woman is not slicing a cucumber,a woman is slicing a cucumber,1
a tan skinned child is looking at the camera,a little boy with a bib is watching the camera,0
a boy is surfing and riding a wave,a blond girl is riding the waves,0
two children in white outfits and red protective gear are sitting on a mat,two children in white outfits and red protective gear are sparring on a mat,0
the current is being ridden by a group of friends in a raft,this group of people is practicing water safety and wearing preservers,0
a man is diving off a cliff,a man is riding a motorcycle,0
a man a woman and two girls are walking on the beach,a woman is adding spices to some meat,0
